ORPHA:58	Alexander disease
ORPHA:61	Alpha-mannosidosis
ORPHA:93	Aspartylglucosaminuria
ORPHA:585	Multiple sulfatase deficiency
ORPHA:118	Beta-mannosidosis
ORPHA:141	Canavan disease
ORPHA:213	Cystinosis
ORPHA:349	Fucosidosis
ORPHA:366	Glycogen storage disease due to glycogen debranching enzyme deficiency
ORPHA:371	Glycogen storage disease due to muscle phosphofructokinase deficiency
ORPHA:583	Mucopolysaccharidosis type 6
ORPHA:812	Sialidosis type 1
ORPHA:578	Mucolipidosis type IV
ORPHA:577	Mucolipidosis type III
ORPHA:796	Sandhoff disease
ORPHA:584	Mucopolysaccharidosis type 7
ORPHA:461	Recessive X-linked ichthyosis
ORPHA:881	Turner syndrome
ORPHA:848	Beta-thalassemia
ORPHA:586	Cystic fibrosis
ORPHA:846	Alpha-thalassemia
ORPHA:269	Facioscapulohumeral dystrophy
ORPHA:261	Emery-Dreifuss muscular dystrophy
ORPHA:480	Kearns-Sayre syndrome
ORPHA:614	Thomsen and Becker disease
ORPHA:551	MERRF
ORPHA:597	Central core disease
ORPHA:324	Fabry disease
ORPHA:558	Marfan syndrome
ORPHA:100	Ataxia-telangiectasia
ORPHA:870	Down syndrome
ORPHA:138	CHARGE syndrome
ORPHA:534	Oculocerebrorenal syndrome of Lowe
ORPHA:790	Retinoblastoma
ORPHA:908	Fragile X syndrome
ORPHA:579	Mucopolysaccharidosis type 1
ORPHA:567	22q11.2 deletion syndrome
ORPHA:904	Williams syndrome
ORPHA:280	Wolf-Hirschhorn syndrome
ORPHA:96	Ataxia with vitamin E deficiency
ORPHA:3099	Rheumatic fever
ORPHA:47	X-linked agammaglobulinemia
ORPHA:906	Wiskott-Aldrich syndrome
ORPHA:436	Hypophosphatasia
ORPHA:2182	Hydrocephalus with stenosis of the aqueduct of Sylvius
ORPHA:664	Ornithine transcarbamylase deficiency
ORPHA:481	Kennedy disease
ORPHA:783	Rubinstein-Taybi syndrome
ORPHA:792	X-linked retinoschisis
ORPHA:429	Hypochondroplasia
ORPHA:181	X-linked hypohidrotic ectodermal dysplasia
ORPHA:16	Blue cone monochromatism
