multiplex	node	score	OrphaCorres	multiplex	node	score	description
Rare_X_layer	HUWE1-related disorders	0.7229591798190473	None	Orpha_layer	ORPHA:319182	4.7858763593804056e-06	Wiedemann-Steiner syndrome
Rare_X_layer	343	0.009540932738539443	None	Orpha_layer	ORPHA:544254	2.1654234645969647e-06	SYNGAP1-related developmental and epileptic encephalopathy
Rare_X_layer	342	0.009524290457048407	None	Orpha_layer	ORPHA:391372	2.1095523558255325e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome
Rare_X_layer	353	0.00951224495162213	None	Orpha_layer	ORPHA:261494	1.763569503793613e-06	Kleefstra syndrome
Rare_X_layer	229	0.00950477708201678	None	Orpha_layer	ORPHA:420179	1.692156035177822e-06	Malan overgrowth syndrome
Rare_X_layer	206	0.009504239203521385	None	Orpha_layer	ORPHA:464306	1.2412688035381953e-06	DYRK1A-related intellectual disability syndrome
Rare_X_layer	224	0.009496026716970129	None	Orpha_layer	ORPHA:2131	1.0916172802673224e-06	Alternating hemiplegia of childhood
Rare_X_layer	309	0.009489098263919369	None	Orpha_layer	ORPHA:884	7.091711226129682e-07	Tetrasomy 12p
Rare_X_layer	204	0.00948498237008732	None	Orpha_layer	ORPHA:276432	6.180737489158696e-07	Ogden syndrome
Rare_X_layer	205	0.009482908539002535	None	Orpha_layer	ORPHA:96092	5.441018823602692e-07	8p inverted duplication/deletion syndrome
Rare_X_layer	203	0.009481022508280505	None	Orpha_layer	ORPHA:289494	5.256533360567885e-07	4H leukodystrophy
Rare_X_layer	267	0.009470554927513994	None	Orpha_layer	ORPHA:85279	5.182200399488267e-07	KDM5C-related syndromic X-linked intellectual disability
Rare_X_layer	345	0.009467206856657416	None	Orpha_layer	ORPHA:96169	4.849324138676424e-07	Koolen-De Vries syndrome
Rare_X_layer	269	0.009461020320753008	None	Orpha_layer	ORPHA:394	1.6894638529364735e-07	Classic homocystinuria
Rare_X_layer	399	0.00945957767416819	None	Orpha_layer	ORPHA:444077	1.5758234627901908e-07	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
Rare_X_layer	208	0.009452240158577213	None	Orpha_layer	HP:0000750	6.205950511084497e-08	Delayed speech and language development
Rare_X_layer	394	0.00944258311678553	None	Orpha_layer	HP:0000708	4.462441823359005e-08	Behavioral abnormality
Rare_X_layer	207	0.009429902345452866	None	Orpha_layer	HP:0001252	4.36696420347981e-08	Hypotonia
Rare_X_layer	349	0.009429902345452866	None	Orpha_layer	HP:0010864	4.0748838808327854e-08	Intellectual disability, severe
Rare_X_layer	374	0.009429902345452866	None	Orpha_layer	HP:0001250	4.0029782977659693e-08	Seizure
Rare_X_layer	384	0.009429902345452866	None	Orpha_layer	HP:0001249	3.837266932846375e-08	Intellectual disability
Rare_X_layer	387	0.009429902345452866	None	Orpha_layer	HP:0001263	3.318912435360791e-08	Global developmental delay
Rare_X_layer	467	0.009429902345452866	None	Orpha_layer	HP:0000316	3.259852352907704e-08	Hypertelorism
Rare_X_layer	405	0.009429902345452866	None	Orpha_layer	HP:0000252	3.103111452610634e-08	Microcephaly
Rare_X_layer	Short_Stature_Symptom_Present	0.0023888573116903635	None	Orpha_layer	HP:0000739	3.028272740068508e-08	Anxiety
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.0022929772294374576	None	Orpha_layer	HP:0004322	2.845510151632932e-08	Short stature
Rare_X_layer	Constipation_Symptom_Present	0.0019293204805581855	None	Orpha_layer	HP:0000729	2.737127269936452e-08	Autistic behavior
Rare_X_layer	Hypotonia_Symptom_Present	0.0018414444693830106	None	Orpha_layer	HP:0011968	2.650648202902514e-08	Feeding difficulties
Rare_X_layer	Repetitive_Stereotypic_Behavior_Symptom_Present	0.0016901705548903695	None	Orpha_layer	HP:0005616	2.5864168594481213e-08	Accelerated skeletal maturation
Rare_X_layer	Coordination_Issues_Symptom_Present	0.0016882015850663244	None	Orpha_layer	HP:0003196	2.5790112159603246e-08	Short nose
Rare_X_layer	Undergrowth_Symptom_Present	0.0015630651706155035	None	Orpha_layer	HP:0000218	2.551823702572412e-08	High palate
