multiplex	node	score	multiplex	node	score	description	multiplex	node	score	description
1.0	Malan overgrowth syndrome	0.7238676240360192	2	ORPHA:420179	0.0724985217408684	Malan overgrowth syndrome	3.0	ORPHA:420179	0.0750350585912858	Malan overgrowth syndrome
1.0	155	0.0016571841283401	2	HP:0005616	0.0006203061357656	Accelerated skeletal maturation	3.0	ORPHA:447980	0.0088276539529268	19p13.3 microduplication syndrome
1.0	313	0.0016571289859722	2	HP:0000486	0.0004731128424317	Strabismus	3.0	ORPHA:561	0.0088276539529268	Marshall-Smith syndrome
1.0	415	0.001644212936266	2	HP:0000256	0.0004704159442552	Macrocephaly	3.0	ORPHA:319182	7.640273919682013e-07	Wiedemann-Steiner syndrome
1.0	245	0.001640813538358	2	HP:0000494	0.0004700816083389	Downslanted palpebral fissures	3.0	ORPHA:391372	5.396901680234113e-07	Intellectual disability-severe speech delay-mild dysmorphism syndrome
1.0	248	0.0016407458974669	2	HP:0002119	0.0004688787750292	Ventriculomegaly	3.0	ORPHA:544254	3.876207026973918e-07	SYNGAP1-related developmental and epileptic encephalopathy
1.0	497	0.0016402574860948	2	HP:0000348	0.000467603531579	High forehead	3.0	ORPHA:2131	2.292295611366206e-07	Alternating hemiplegia of childhood
1.0	448	0.0016400410412347	2	HP:0002342	0.0004675382974232	Intellectual disability, moderate	3.0	ORPHA:276432	1.2861114215720513e-07	Ogden syndrome
1.0	254	0.001639750471729	2	HP:0002079	0.0004673683537371	Hypoplasia of the corpus callosum	3.0	ORPHA:52417	5.7747312495335876e-08	MALT lymphoma
1.0	422	0.001638165242924	2	HP:0000767	0.0004671910542008	Pectus excavatum	3.0	ORPHA:585877	5.7243724799382e-08	
1.0	244	0.0016372250828266	2	HP:0008872	0.0004667832928723	Feeding difficulties in infancy	3.0	ORPHA:442835	3.4715191600459864e-08	Non-specific early-onset epileptic encephalopathy
1.0	350	0.0016350934363822	2	HP:0011220	0.000466384834859	Prominent forehead	3.0	ORPHA:589534	3.276155707562764e-08	
