multiplex	node	score	multiplex	node	score	description
2.0	SYNGAP1-related developmental and epileptic encephalopathy	0.7320769998630055	1	ORPHA:544254	0.1103052400785137	SYNGAP1-related developmental and epileptic encephalopathy
2.0	709	0.0022744996457282	1	HP:0001249	0.0004199401079441	Intellectual disability
2.0	341	0.002271681974892	1	HP:0001263	0.0004197063597377	Global developmental delay
2.0	213	0.0022716289485146	1	HP:0000252	0.0004156963305507	Microcephaly
2.0	190	0.0022666242006176	1	HP:0001252	0.0004138677719434	Hypotonia
2.0	335	0.0022664470226844	1	HP:0001251	0.0004123705277342	Ataxia
2.0	191	0.002266188377952	1	HP:0000750	0.0004120107676477	Delayed speech and language development
2.0	99	0.0022655757841	1	HP:0000729	0.0004109625749441	Autistic behavior
2.0	698	0.0022651533775038	1	HP:0000708	0.0004108610867806	Atypical behavior
2.0	197	0.0022647713750629	1	HP:0010864	0.0004108305681792	Intellectual disability, severe
2.0	222	0.00226397895572	1	HP:0001999	0.0004100037306597	Abnormal facial shape
2.0	238	0.0022639437804806	1	HP:0002360	0.0004093195386714	Sleep disturbance
2.0	202	0.0022628192715815	1	HP:0000218	0.0004089185631008	High palate
2.0	697	0.0022621648295011	1	HP:0001288	0.0004086964987461	Gait disturbance
2.0	715	0.0022610538341385	1	HP:0002342	0.0004085621445275	Intellectual disability, moderate
2.0	323	0.002259198689079	1	HP:0001344	0.0004085367677666	Absent speech
2.0	196	0.002257876835923	1	HP:0002376	0.0004081675983247	Developmental regression
2.0	78	0.0022578644049886	1	HP:0001337	0.000408007431895	Tremor
2.0	194	0.0022553661987237	1	HP:0000400	0.0004079198481475	Macrotia
2.0	336	0.0022544050810354	1	HP:0000490	0.0004076660072608	Deeply set eye
2.0	328	0.0022540356221478	1	HP:0000047	0.0004076345271736	Hypospadias
2.0	220	0.0022531781915824	1	HP:0000154	0.0004073227843332	Wide mouth
2.0	324	0.0022528951844939	1	HP:0008872	0.000407145068545	Feeding difficulties in infancy
2.0	717	0.0022521522816751	1	HP:0002465	0.0004070473292732	Poor speech
2.0	223	0.0022502438730196	1	HP:0000276	0.0004070454866936	Long face
2.0	246	0.0022498984231558	1	HP:0000160	0.0004069923879566	Narrow mouth
2.0	187	0.0022498601550018	1	HP:0000325	0.0004060966124003	Triangular face
2.0	337	0.0022488276666454	1	HP:0002197	0.0004060524848617	Generalized-onset seizure
2.0	317	0.0022484012993189	1	HP:0000233	0.0004060486574056	Thin vermilion border
2.0	519	0.0022410520404274	1	HP:0000992	0.0004058227435903	Cutaneous photosensitivity
2.0	334	0.0022410520404274	1	HP:0100738	0.0004053174351714	Abnormal eating behavior
2.0	360	0.0022410520404274	1	HP:0000735	0.0004051602146554	Impaired social interactions
2.0	708	0.0022410520404274	1	HP:0008770	0.000404794405698	Obsessive-compulsive trait
2.0	221	0.0022410520404274	1	HP:0100023	0.0004047684653368	Recurrent hand flapping
2.0	326	0.0022410520404274	1	HP:0002370	0.0004047325603007	Poor coordination
2.0	330	0.0022410520404274	1	HP:0011150	0.0004045737913254	Myoclonic absence seizure
2.0	340	0.0022410520404274	1	HP:0010832	0.0004044774488226	Abnormality of pain sensation
2.0	339	0.0022410520404274	1	HP:0012703	0.0004042073362691	Abnormal subarachnoid space morphology
2.0	431	0.0022410520404274	1	HP:0100259	0.0004042068790323	Postaxial polydactyly
2.0	188	0.0022410520404274	1	HP:0040080	0.0004038770909015	Anteverted ears
2.0	237	0.0022410520404274	1	HP:0030810	0.0004035557563641	Abnormal tongue physiology
2.0	195	0.0022410520404274	1	HP:0020208	0.0004035557563641	Eating-induced seizure
2.0	214	0.0022410520404274	1	ORPHA:459070	6.748025329189494e-05	X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome
2.0	705	0.0022410520404274	1	ORPHA:1560	4.478421449813752e-05	Cysticercosis
2.0	696	0.0022410520404274	1	ORPHA:725	4.280094280645862e-05	Continuous spikes and waves during sleep
2.0	101	0.0022410520404274	1	ORPHA:64280	4.130178766779888e-05	Childhood absence epilepsy
2.0	274	0.0022410520404274	1	ORPHA:79093	4.08846425224589e-05	Foix-Alajouanine syndrome
2.0	699	0.0022410520404274	1	ORPHA:98794	3.376878162912659e-05	Angelman syndrome due to maternal 15q11q13 deletion
2.0	325	0.0022410520404274	1	ORPHA:411511	2.932507146661718e-05	Angelman syndrome due to a point mutation
2.0	333	0.0022410520404274	1	ORPHA:468620	2.824878970253308e-05	Intellectual disability-epilepsy-extrapyramidal syndrome
2.0	ASD_Symptom_Present	0.0009743212075462	1	ORPHA:97279	2.573630582248172e-05	Insulinoma
2.0	Abnormal_Muscle_Function_Symptom_Present	0.000957090094616	1	ORPHA:90658	2.526649875647458e-05	Charcot-Marie-Tooth disease type 1E
2.0	Temper_Tantrums_Symptom_Present	0.0008457125059568	1	ORPHA:447753	2.523035475286637e-05	Autosomal dominant spastic paraplegia type 9A
2.0	Cognitive_Impairment_Symptom_Present	0.0008342540756867	1	ORPHA:449291	2.425319139189604e-05	Symptomatic form of fragile X syndrome in female carriers
2.0	Hypotonia_Symptom_Present	0.0008304857515368	1	ORPHA:72	2.3847090925365697e-05	Angelman syndrome
2.0	Unusual_Eye_Gaze_Symptom_Present	0.0008005034869856	1	ORPHA:352577	2.0725387179823063e-05	Bainbridge-Ropers syndrome
2.0	Aggressive_Violent_Behavior_Symptom_Present	0.0007862840397816	1	HP:0001250	1.9652364522968126e-05	Seizure
2.0	Abnormal_EEG_Symptom_Present	0.0007741942505313	1	ORPHA:3008	1.849017164694928e-05	Pyruvate carboxylase deficiency
2.0	Seizures_Symptom_Present	0.0007686742142159	1	ORPHA:352665	1.7766353491137324e-05	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to 9q21.3 microdeletion
2.0	Difficulty_Nonverbal_Behaviors_Symptom_Present	0.0007513360169278	1	ORPHA:453504	1.7766353491137324e-05	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation
2.0	Coordination_Issues_Symptom_Present	0.00071453070629	1	ORPHA:319671	1.7575894090908596e-05	Alazami syndrome
2.0	Impulsivity_Symptom_Present	0.0006978172707317	1	ORPHA:100973	1.6666524968671594e-05	FRAXE intellectual disability
2.0	Difficulty_Making_Friends_Symptom_Present	0.0006524086089966	1	ORPHA:293948	1.6314918499696467e-05	1p21.3 microdeletion syndrome
2.0	Repetitive_Stereotypic_Behavior_Symptom_Present	0.0006149292353495	1	ORPHA:466943	1.618929230685128e-05	WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome
2.0	PELHS Intellectual disability	0.0005571071081182	1	ORPHA:101039	1.5829124155768457e-05	Female restricted epilepsy with intellectual disability
2.0	Self_Injurious_Behavior_Symptom_Present	0.0005193094765809	1	ORPHA:457284	1.5217049579815527e-05	Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome
2.0	Short_Attention_Span_Symptom_Present	0.0005114028485688	1	ORPHA:363686	1.514726381153738e-05	Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome
2.0	PELHS Autism/PDD	0.0004888423825615	1	ORPHA:435638	1.5129518841805831e-05	3p25.3 microdeletion syndrome
2.0	Constipation_Symptom_Present	0.000454277616645	1	ORPHA:209905	1.5091027138203026e-05	Brain-lung-thyroid syndrome
2.0	Hyperactivity_Symptom_Present	0.0003828257878319	1	ORPHA:821	1.4806149392441431e-05	Sotos syndrome
2.0	PELHS Learning disability	0.000362671842271	1	ORPHA:404440	1.4768026468255347e-05	Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency
2.0	Anxiety_Symptom_Present	0.0003441356498987	1	ORPHA:228360	1.4497055553148131e-05	CLN5 disease
2.0	Feeding_Difficulties_Symptom_Present	0.0003229495715874	1	ORPHA:397715	1.4369564183716602e-05	Joubert syndrome with Jeune asphyxiating thoracic dystrophy
2.0	Mood_Problems_Symptom_Present	0.0002649539593315	1	ORPHA:36387	1.4344553850109757e-05	Generalized epilepsy with febrile seizures-plus
2.0	Delivery_Complication_Symptom_Present	0.0002351497086207	1	ORPHA:247585	1.4123883597734672e-05	Citrullinemia type II
2.0	Memory_Impairment_Symptom_Present	0.0002022472568187	1	ORPHA:480880	1.4096013000983211e-05	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability
2.0	Abnormal_Facial_Muscles_Symptom_Present	0.0001867180766342	1	ORPHA:500055	1.3838676140722167e-05	Hao-Fountain syndrome due to 16p13.2 microdeletion
2.0	OCD_Symptom_Present	0.0001834949092892	1	ORPHA:313947	1.346499358898646e-05	2q23.1 microduplication syndrome
2.0	Maternal_Health_Problem_Symptom_Present	0.0001689789081994	1	ORPHA:221120	1.3205917050085051e-05	Pseudoaminopterin syndrome
2.0	Esophagus_Issues_Symptom_Present	0.0001457339783838	1	ORPHA:177904	1.3020027989455406e-05	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2
2.0	Issue_Nerves_Connected_Muscles_Symptom_Present	0.0001365690937289	1	ORPHA:396	1.3015908783825968e-05	Chronic hiccup
2.0	Unusual_Movements_Symptom_Present	0.0001327413545331	1	ORPHA:391428	1.2915523184118832e-05	HSD10 disease, infantile type
2.0	Issue_Muscle_Arms_Legs_Symptom_Present	0.0001325141374141	1	ORPHA:2886	1.2727618025965525e-05	TARP syndrome
2.0	Prematurity_Symptom_Present	0.0001279957298634	1	ORPHA:33543	1.2568516201772849e-05	Kleine-Levin syndrome
2.0	Pregnancy_Exposure_Symptom_Present	0.0001242338346722	1	ORPHA:177901	1.2562378005160713e-05	Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1
2.0	Abnormal_Eye_Movement_Symptom_Present	0.0001102320819962	1	ORPHA:98793	1.255411465727235e-05	Prader-Willi syndrome due to paternal 15q11q13 deletion
2.0	PELHS Sleep disorder	0.0001006463683102	1	ORPHA:1600	1.2429347278537532e-05	Monosomy 18q
2.0	Obesity_Symptom_Present	9.971627056992172e-05	1	ORPHA:2152	1.1795941162111715e-05	Mowat-Wilson syndrome
2.0	PELHS Anxiety	9.546326904733835e-05	1	ORPHA:261183	1.17592246643987e-05	15q11.2 microdeletion syndrome
2.0	Visual_Impairment_Symptom_Present	9.34954312580398e-05	1	ORPHA:168491	1.1756378894890391e-05	Late infantile neuronal ceroid lipofuscinosis
2.0	Decreased_Sweating_Symptom_Present	7.58798452741134e-05	1	ORPHA:177907	1.1592709596904502e-05	Prader-Willi syndrome due to translocation
2.0	Short_Stature_Symptom_Present	6.318983610752024e-05	1	ORPHA:96121	1.1565006696547624e-05	7q11.23 microduplication syndrome
2.0	Flexible_Joints_Symptom_Present	6.288608799924845e-05	1	ORPHA:457359	1.1405274258240304e-05	Megalencephaly-severe kyphoscoliosis-overgrowth syndrome
2.0	Hypertonia_Symptom_Present	6.196153350966585e-05	1	ORPHA:273	1.119353066231976e-05	Steinert myotonic dystrophy
2.0	Issue_Neck_Muscle_Symptom_Present	6.109788681495562e-05	1	HP:0004322	1.0875210478094287e-05	Short stature
2.0	Curvature_Spine_Symptom_Present	5.627883069161645e-05	1	ORPHA:171829	1.067425428662648e-05	6q16 microdeletion syndrome
