multiplex	node	score
Orpha_layer	ORPHA:319182	6.011650223370039e-06
Orpha_layer	ORPHA:544254	2.1366294991167296e-06
Orpha_layer	ORPHA:391372	2.0894689150625636e-06
Orpha_layer	ORPHA:261494	1.612246484735908e-06
Orpha_layer	ORPHA:420179	1.5461413071922112e-06
Orpha_layer	ORPHA:464306	1.3605959530196516e-06
Orpha_layer	ORPHA:2131	1.1342467023575308e-06
Orpha_layer	ORPHA:276432	8.309223690686283e-07
Orpha_layer	ORPHA:85279	7.322481760877112e-07
Orpha_layer	ORPHA:96092	6.845487012517394e-07
Orpha_layer	ORPHA:96169	6.443905793677676e-07
Orpha_layer	ORPHA:884	4.308688558972765e-07
Orpha_layer	ORPHA:289494	4.1817708146297244e-07
Orpha_layer	ORPHA:444077	2.895042123513709e-07
Orpha_layer	ORPHA:394	1.7722071173355246e-07
Orpha_layer	HP:0001250	5.052227878581351e-08
Orpha_layer	HP:0000252	3.8174509446163516e-08
Orpha_layer	HP:0000218	3.7774227179426236e-08
Orpha_layer	HP:0004322	3.527348850154391e-08
Orpha_layer	HP:0000708	3.4548727789448216e-08
Orpha_layer	HP:0001252	3.2895539396739004e-08
Orpha_layer	HP:0010864	2.8539382937554205e-08
Orpha_layer	HP:0000767	2.845232143553524e-08
Orpha_layer	HP:0001249	2.8145741738612e-08
Orpha_layer	HP:0030084	2.702846329602038e-08
Orpha_layer	HP:0003196	2.623540468946249e-08
Orpha_layer	HP:0000739	2.533743680199416e-08
Orpha_layer	HP:0000750	2.523480060070574e-08
Orpha_layer	HP:0001508	2.5038987929189968e-08
Orpha_layer	HP:0000316	2.5017530732621377e-08
Orpha_layer	HP:0000486	2.491464390656219e-08
Orpha_layer	ORPHA:589595	2.4890279269307038e-08
Orpha_layer	ORPHA:589534	2.4890279269307038e-08
Orpha_layer	HP:0000348	2.4412228787835698e-08
Orpha_layer	HP:0000508	2.4349788907065757e-08
Orpha_layer	ORPHA:98831	2.4117166265202565e-08
Orpha_layer	ORPHA:585918	2.4117166265202565e-08
Orpha_layer	ORPHA:98835	2.4117166265202565e-08
Orpha_layer	ORPHA:402017	2.4117166265202565e-08
Orpha_layer	HP:0002020	2.3922845656328537e-08
Orpha_layer	HP:0002650	2.3636865279643512e-08
Orpha_layer	HP:0000490	2.327690458705696e-08
Orpha_layer	HP:0000324	2.282605434449744e-08
Orpha_layer	HP:0000729	2.2017191523105488e-08
Orpha_layer	HP:0000664	2.1909146738184474e-08
Orpha_layer	HP:0000718	2.1845413753535724e-08
Orpha_layer	HP:0004209	2.1013661623169438e-08
Orpha_layer	HP:0000369	1.9615694506748297e-08
Orpha_layer	HP:0000047	1.9111152232271052e-08
Orpha_layer	HP:0000506	1.859770638514211e-08
Orpha_layer	HP:0001511	1.8528165022474052e-08
Orpha_layer	HP:0000733	1.8503299213732154e-08
Orpha_layer	HP:0011968	1.845629928940989e-08
Orpha_layer	HP:0000028	1.8309161690977556e-08
Orpha_layer	HP:0001182	1.7091488112946765e-08
Orpha_layer	HP:0002119	1.704479072555573e-08
Orpha_layer	HP:0000256	1.677072134160329e-08
