multiplex	node	score
3	ORPHA:319182	3.9803647006971694e-07
3	ORPHA:420179	2.5256687759544504e-07
3	ORPHA:544254	2.0845777752614384e-07
3	ORPHA:391372	1.8548392895695863e-07
3	ORPHA:2131	1.3956777680219283e-07
3	ORPHA:276432	8.43113158106191e-08
3	ORPHA:447980	2.9713677657945743e-08
3	ORPHA:561	2.9713677657945743e-08
3	ORPHA:52417	1.9846929879908105e-08
3	ORPHA:585877	1.9674594620732338e-08
3	ORPHA:442835	1.9206066954467226e-08
3	ORPHA:589534	1.7067767678273735e-08
3	ORPHA:589595	1.7067767678273735e-08
3	ORPHA:568	1.7043371342930363e-08
3	ORPHA:98831	1.653599812878124e-08
3	ORPHA:585918	1.653599812878124e-08
3	ORPHA:402017	1.653599812878124e-08
3	ORPHA:98835	1.653599812878124e-08
3	ORPHA:178469	1.471324651320871e-08
3	ORPHA:1942	1.4576776403997319e-08
3	ORPHA:569	4.308648427737675e-09
3	ORPHA:2382	4.253356177932297e-09
3	ORPHA:98758	3.833033378168632e-09
3	ORPHA:97	3.833033378168632e-09
3	ORPHA:71518	3.833033378168632e-09
3	ORPHA:1171	3.6191368254758305e-09
3	ORPHA:71517	3.6191368254758305e-09
3	ORPHA:209967	3.101495035145137e-09
3	ORPHA:520	1.5685543864874016e-09
3	ORPHA:457246	1.4438964021484751e-09
3	ORPHA:2712	1.3267488609292351e-09
3	ORPHA:545	1.1454404934638408e-09
3	ORPHA:52416	1.1263294645080496e-09
3	ORPHA:585948	1.0455214271679597e-09
3	ORPHA:99861	1.0396947022754316e-09
3	ORPHA:44890	1.0106199765344442e-09
3	ORPHA:314950	1.00121788043114e-09
3	ORPHA:397964	9.923591218617644e-10
3	ORPHA:199306	9.781065285916759e-10
3	ORPHA:168940	9.492654866414533e-10
3	ORPHA:98834	9.290653201612206e-10
3	ORPHA:168947	9.21813747081894e-10
3	ORPHA:102724	9.045153917899313e-10
3	ORPHA:98829	9.016341806592568e-10
3	ORPHA:98833	8.949635172387531e-10
3	ORPHA:585909	8.905824776291802e-10
3	ORPHA:98832	8.545402708541275e-10
3	ORPHA:33069	7.136511438140354e-10
3	ORPHA:36387	7.122140166103546e-10
3	ORPHA:64280	6.754987531660941e-10
3	ORPHA:293181	6.6014979767288e-10
3	ORPHA:98811	5.049804615470352e-10
3	ORPHA:306	4.5433842264402265e-10
3	ORPHA:31709	3.89702779269876e-10
3	ORPHA:168577	3.762159351228837e-10
3	ORPHA:53583	3.762159351228837e-10
3	ORPHA:71277	3.762159351228837e-10
3	ORPHA:86911	3.762159351228837e-10
3	ORPHA:3451	3.4817362237899873e-10
3	ORPHA:178342	2.9625827876095743e-10
3	ORPHA:85277	2.915381312431314e-10
3	ORPHA:319308	2.8229590114921483e-10
3	ORPHA:565858	2.6890585478560874e-10
3	ORPHA:1934	1.9907509433482529e-10
3	ORPHA:130	1.9437115799828663e-10
3	ORPHA:1945	1.9203215438133204e-10
3	ORPHA:33364	1.8772053144934348e-10
3	ORPHA:2828	1.8660613010839893e-10
3	ORPHA:777	1.8304335240586048e-10
3	ORPHA:251510	1.8220221376259492e-10
3	ORPHA:528084	1.7730107173643086e-10
3	ORPHA:251615	1.7719049575242703e-10
3	ORPHA:99977	1.755186490133819e-10
3	ORPHA:3095	1.7122293370602557e-10
3	ORPHA:140927	1.7104657155775006e-10
3	ORPHA:228174	1.6511185407532695e-10
3	ORPHA:284282	1.650700248412658e-10
3	ORPHA:791	1.6338925650945178e-10
3	ORPHA:970	1.6338520604111155e-10
3	ORPHA:357074	1.6306435697212324e-10
3	ORPHA:391411	1.6272353284687762e-10
3	ORPHA:51083	1.5927482133467117e-10
3	ORPHA:1946	1.5572597624435884e-10
3	ORPHA:220386	1.4909124481771632e-10
3	ORPHA:1949	1.456311789779055e-10
3	ORPHA:93924	1.4472977162862385e-10
3	ORPHA:439218	1.4293303188060223e-10
3	ORPHA:98974	1.428954736175729e-10
3	ORPHA:280200	1.3692648644460556e-10
3	ORPHA:641368	1.367613549558653e-10
3	ORPHA:98809	1.365122620992776e-10
3	ORPHA:819	1.3630999595377383e-10
3	ORPHA:171	1.3369350858077355e-10
3	ORPHA:2896	1.3369350858077355e-10
3	ORPHA:209341	1.3315226908180073e-10
3	ORPHA:284232	1.3315226908180073e-10
3	ORPHA:93925	1.3221152065021814e-10
3	ORPHA:106	1.3179190938288986e-10
3	ORPHA:93926	1.3176341492045573e-10
3	ORPHA:280195	1.3176341492045573e-10
3	ORPHA:101010	1.3120111595149686e-10
3	ORPHA:2836	1.3120111595149686e-10
3	ORPHA:98810	1.2971517184965964e-10
3	ORPHA:88616	1.2569560595861913e-10
3	ORPHA:217390	1.2138530967706944e-10
3	ORPHA:468620	1.1902159072882402e-10
3	ORPHA:589547	1.17531949705871e-10
3	ORPHA:803	1.1649248985577628e-10
3	ORPHA:208447	1.1504617166668174e-10
3	ORPHA:402082	1.145073493319742e-10
3	ORPHA:228402	1.1317987854125003e-10
3	ORPHA:1775	9.190957571984119e-11
3	ORPHA:1501	7.929835286086795e-11
3	ORPHA:67038	6.243102899171774e-11
3	ORPHA:1331	6.016668347649262e-11
3	ORPHA:146	5.899125994490752e-11
3	ORPHA:98842	5.790074621777076e-11
3	ORPHA:300865	5.790074621777076e-11
3	ORPHA:402026	5.6798040856493134e-11
3	ORPHA:618	5.597804368985472e-11
3	ORPHA:98849	5.381557683281104e-11
3	ORPHA:2884	5.260798899315051e-11
3	ORPHA:158778	5.252475648246194e-11
3	ORPHA:842	5.252475648246194e-11
3	ORPHA:79455	5.252475648246194e-11
3	ORPHA:280785	5.252475648246194e-11
3	ORPHA:280794	5.252475648246194e-11
3	ORPHA:90389	5.252475648246194e-11
3	ORPHA:158775	5.252475648246194e-11
3	ORPHA:158772	5.252475648246194e-11
3	ORPHA:158769	5.252475648246194e-11
3	ORPHA:158766	5.252475648246194e-11
3	ORPHA:566396	5.252475648246194e-11
3	ORPHA:566393	5.252475648246194e-11
3	ORPHA:307	5.146917245132637e-11
3	ORPHA:892	4.293164526462808e-11
3	ORPHA:100	4.2010064478963563e-11
3	ORPHA:370109	4.2010064478963563e-11
3	ORPHA:29073	4.0383422105686145e-11
3	ORPHA:2495	3.912746207293246e-11
3	ORPHA:334	3.6077263209828524e-11
3	ORPHA:531	3.56844610593283e-11
3	ORPHA:217385	3.56844610593283e-11
3	ORPHA:213711	3.532830885958793e-11
3	ORPHA:2032	3.490492458278429e-11
3	ORPHA:261257	3.4212213965099986e-11
3	ORPHA:2314	3.412069466119295e-11
3	ORPHA:88	3.40908139781611e-11
3	ORPHA:3322	3.377611963591724e-11
3	ORPHA:536	3.323415291957766e-11
3	ORPHA:99798	3.1343342328998243e-11
3	ORPHA:2227	3.079600411856635e-11
3	ORPHA:521	3.01568876029267e-11
3	ORPHA:306577	2.895424227915706e-11
3	ORPHA:88642	2.895424227915706e-11
3	ORPHA:46348	2.895424227915706e-11
3	ORPHA:90026	2.895424227915706e-11
3	ORPHA:480541	2.893334478721507e-11
3	ORPHA:251576	2.8646957958402164e-11
3	ORPHA:251579	2.8646957958402164e-11
3	ORPHA:99885	2.5832500900769293e-11
3	ORPHA:1333	2.5448610910871915e-11
3	ORPHA:86872	2.44598267714071e-11
3	ORPHA:512017	2.44598267714071e-11
3	ORPHA:438159	2.44598267714071e-11
3	ORPHA:2834	2.4458485868863698e-11
3	ORPHA:950	2.4146599294758796e-11
3	ORPHA:871	2.3937711426753587e-11
3	ORPHA:1359	2.3405448012442815e-11
3	ORPHA:615	2.3405448012442815e-11
3	ORPHA:478	2.310861724692684e-11
3	ORPHA:524	2.2207749235759376e-11
3	ORPHA:71290	2.2160001939778866e-11
3	ORPHA:91387	2.1783308880909717e-11
3	ORPHA:397	2.1387931664918587e-11
3	ORPHA:432	2.100202029343855e-11
3	ORPHA:802	2.0912060831204764e-11
3	ORPHA:220402	2.08734999615728e-11
3	ORPHA:220393	2.08734999615728e-11
3	ORPHA:243377	2.0772656572483942e-11
3	ORPHA:555	2.0772656572483942e-11
3	ORPHA:83465	2.0727729687998757e-11
3	ORPHA:477738	2.0727729687998757e-11
3	ORPHA:2073	2.0727729687998757e-11
3	ORPHA:703	2.0727729687998757e-11
3	ORPHA:85414	2.071398058754463e-11
3	ORPHA:284130	2.062982234095481e-11
3	ORPHA:747	2.062982234095481e-11
3	ORPHA:220407	2.062982234095481e-11
3	ORPHA:797	2.062982234095481e-11
3	ORPHA:1572	2.05758188201885e-11
3	ORPHA:154	2.0062460692661346e-11
3	ORPHA:2512	1.9844506055428002e-11
3	ORPHA:487825	1.9606527560957197e-11
3	ORPHA:220465	1.9606527560957197e-11
3	ORPHA:98839	1.9283520728504748e-11
3	ORPHA:98838	1.9283520728504748e-11
3	ORPHA:141291	1.922575429633038e-11
