multiplex	node	score
Orpha_layer	ORPHA:319182	2.7195938674284e-06
Orpha_layer	ORPHA:391372	1.4710197348614037e-06
Orpha_layer	ORPHA:544254	1.4408036090657752e-06
Orpha_layer	ORPHA:420179	1.4380991617685863e-06
Orpha_layer	ORPHA:261494	1.3442212173585126e-06
Orpha_layer	ORPHA:2131	8.295357320482189e-07
Orpha_layer	ORPHA:464306	7.109955951162284e-07
Orpha_layer	ORPHA:289494	4.2873526199779685e-07
Orpha_layer	ORPHA:96092	4.262185008002575e-07
Orpha_layer	ORPHA:96169	4.2520579203945296e-07
Orpha_layer	ORPHA:884	3.923887266553572e-07
Orpha_layer	ORPHA:276432	3.685937237552331e-07
Orpha_layer	ORPHA:85279	3.6050224638372565e-07
Orpha_layer	ORPHA:394	7.535073476882694e-08
Orpha_layer	ORPHA:444077	7.262146956880034e-08
Orpha_layer	HP:0000750	4.0425774866391126e-08
Orpha_layer	HP:0000708	2.859239184995474e-08
Orpha_layer	HP:0010864	2.856723828007774e-08
Orpha_layer	HP:0001252	2.839591617606193e-08
Orpha_layer	HP:0001250	2.7732985534984758e-08
Orpha_layer	HP:0001249	2.472342880874756e-08
Orpha_layer	HP:0001263	2.2502147354315946e-08
Orpha_layer	HP:0000316	2.077924508263399e-08
Orpha_layer	HP:0000252	1.9837677666683468e-08
Orpha_layer	HP:0000739	1.9555615419075043e-08
Orpha_layer	HP:0000729	1.8531720972018806e-08
Orpha_layer	HP:0004322	1.826391085760481e-08
Orpha_layer	HP:0005616	1.7763135965827877e-08
Orpha_layer	HP:0002342	1.7526728699351358e-08
Orpha_layer	HP:0000486	1.7421437125688087e-08
Orpha_layer	HP:0000218	1.6944811550670796e-08
Orpha_layer	HP:0003196	1.655250483420029e-08
Orpha_layer	HP:0000718	1.6260306962435948e-08
Orpha_layer	HP:0000767	1.615730897237407e-08
Orpha_layer	HP:0011968	1.5930847450737383e-08
Orpha_layer	HP:0000348	1.5929581708887763e-08
Orpha_layer	HP:0011220	1.5907180313921117e-08
Orpha_layer	HP:0000324	1.552491869984039e-08
Orpha_layer	HP:0001508	1.4942998763529527e-08
Orpha_layer	HP:0000508	1.4135644073282303e-08
Orpha_layer	HP:0002119	1.4040408746915143e-08
Orpha_layer	HP:0002015	1.3463439492386015e-08
Orpha_layer	HP:0000733	1.2997996188640051e-08
Orpha_layer	HP:0000494	1.2967261704381293e-08
Orpha_layer	HP:0000736	1.2631197792226525e-08
Orpha_layer	HP:0000343	1.262904199010197e-08
Orpha_layer	HP:0008872	1.240471612223995e-08
Orpha_layer	HP:0001251	1.220198409114844e-08
Orpha_layer	HP:0002650	1.2149710123090113e-08
Orpha_layer	HP:0000490	1.2128270239964483e-08
Orpha_layer	HP:0000256	1.1848381503657533e-08
Orpha_layer	HP:0000431	1.1710845447537774e-08
Orpha_layer	HP:0001999	1.1252295810214248e-08
Orpha_layer	HP:0000219	1.118312480642751e-08
Orpha_layer	HP:0002750	1.1177506741969789e-08
Orpha_layer	HP:0000028	1.0886866374776038e-08
Orpha_layer	HP:0002714	1.0640520796346138e-08
Orpha_layer	HP:0008897	1.0506677881006008e-08
Orpha_layer	HP:0000639	1.040011611080429e-08
Orpha_layer	HP:0002019	1.0383186526180883e-08
Orpha_layer	HP:0001182	1.0321512345863955e-08
Orpha_layer	HP:0000664	1.0284442993142569e-08
Orpha_layer	HP:0002079	1.0192754824545266e-08
Orpha_layer	HP:0000824	1.015257000926131e-08
Orpha_layer	HP:0030084	1.0132612472624306e-08
Orpha_layer	HP:0000752	1.0107370515678553e-08
Orpha_layer	HP:0000232	1.0045965369617302e-08
Orpha_layer	HP:0000311	9.957627321482432e-09
Orpha_layer	HP:0002360	9.874116106986427e-09
Orpha_layer	HP:0002020	9.852329934153874e-09
Orpha_layer	HP:0002194	9.792313705546552e-09
Orpha_layer	HP:0002465	9.555227095112506e-09
Orpha_layer	HP:0001256	9.41549068455996e-09
Orpha_layer	HP:0001288	9.34698926828125e-09
Orpha_layer	HP:0000280	9.185864830289786e-09
Orpha_layer	HP:0000160	9.027034498727857e-09
Orpha_layer	HP:0000574	8.809451680662142e-09
Orpha_layer	HP:0000527	8.800950251588189e-09
Orpha_layer	HP:0004209	8.752605824006496e-09
Orpha_layer	HP:0002376	8.664388677115849e-09
Orpha_layer	HP:0000463	8.609497121371967e-09
Orpha_layer	HP:0000400	8.608084121596627e-09
Orpha_layer	HP:0012745	8.583105929355477e-09
Orpha_layer	HP:0000047	8.544469764819358e-09
Orpha_layer	HP:0009811	8.515665468105792e-09
Orpha_layer	HP:0000744	8.485539706363009e-09
Orpha_layer	HP:0004540	8.453998343278341e-09
Orpha_layer	HP:0001511	8.429906635960387e-09
Orpha_layer	HP:0002197	8.275899883716634e-09
Orpha_layer	HP:0001337	8.179728824238758e-09
Orpha_layer	HP:0010832	8.176979457407942e-09
Orpha_layer	HP:0002007	8.070411218394752e-09
Orpha_layer	HP:0000303	7.76878581069838e-09
