multiplex	node	score	empty	multiplex	node	score	description
Rare_X_layer	SETBP1-related disorder	0.7150329303343882		Orpha_layer	ORPHA:319182	4.4583098747525136e-06	Wiedemann-Steiner syndrome
Rare_X_layer	Hypotonia_Symptom_Present	0.004476053147272815		Orpha_layer	ORPHA:544254	2.7418708087055407e-06	SYNGAP1-related developmental and epileptic encephalopathy
Rare_X_layer	Abnormal_Muscle_Function_Symptom_Present	0.0037821624615218133		Orpha_layer	ORPHA:391372	2.5990071911900496e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome
Rare_X_layer	Coordination_Issues_Symptom_Present	0.002724495615561768		Orpha_layer	ORPHA:420179	2.325714501507858e-06	Malan overgrowth syndrome
Rare_X_layer	Issue_Muscle_Arms_Legs_Symptom_Present	0.002690235401970723		Orpha_layer	ORPHA:261494	2.0947286902247387e-06	Kleefstra syndrome
Rare_X_layer	Amniotic_Fluid_Issue_Symptom_Present	0.002125321309692576		Orpha_layer	ORPHA:2131	1.6802823605932968e-06	Alternating hemiplegia of childhood
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.0018736435062155078		Orpha_layer	ORPHA:464306	1.0260380897563828e-06	DYRK1A-related intellectual disability syndrome
Rare_X_layer	Short_Attention_Span_Symptom_Present	0.0017879027399078746		Orpha_layer	ORPHA:96092	9.297707705809355e-07	8p inverted duplication/deletion syndrome
Rare_X_layer	Impulsivity_Symptom_Present	0.0017873290011099316		Orpha_layer	ORPHA:276432	8.840189927792095e-07	Ogden syndrome
Rare_X_layer	Delivery_Complication_Symptom_Present	0.0017141229965663615		Orpha_layer	ORPHA:96169	6.477588109120735e-07	Koolen-De Vries syndrome
Rare_X_layer	Feeding_Difficulties_Symptom_Present	0.0015972779002114965		Orpha_layer	ORPHA:85279	6.464016416150269e-07	KDM5C-related syndromic X-linked intellectual disability
Rare_X_layer	Abnormal_Muscles_Back_Symptom_Present	0.0015727730755707337		Orpha_layer	ORPHA:289494	5.070041962468936e-07	4H leukodystrophy
Rare_X_layer	Issue_Muscle_Chest_Symptom_Present	0.0015688052184144607		Orpha_layer	ORPHA:884	4.868082568204884e-07	Tetrasomy 12p
Rare_X_layer	Abnormal_Eye_Movement_Symptom_Present	0.0013591522351725704		Orpha_layer	ORPHA:394	2.0963136919660325e-07	Classic homocystinuria
Rare_X_layer	Temper_Tantrums_Symptom_Present	0.0011919511968629525		Orpha_layer	ORPHA:444077	1.9402856996573826e-07	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
Rare_X_layer	Constipation_Symptom_Present	0.0011885197066007107		Orpha_layer	HP:0001250	5.024123875058089e-08	Seizure
Rare_X_layer	Aggressive_Violent_Behavior_Symptom_Present	0.0011712989391802233		Orpha_layer	HP:0000750	4.414128246931532e-08	Delayed speech and language development
Rare_X_layer	Esophagus_Issues_Symptom_Present	0.001133209743037225		Orpha_layer	HP:0000708	4.148042488255431e-08	Behavioral abnormality
Rare_X_layer	Maternal_Health_Problem_Symptom_Present	0.0011155554306428077		Orpha_layer	HP:0010864	4.100288458087511e-08	Intellectual disability, severe
Rare_X_layer	Abnormal_Facial_Muscles_Symptom_Present	0.00107098029771533		Orpha_layer	HP:0001252	4.017113065825721e-08	Hypotonia
Rare_X_layer	PELHS Intellectual disability	0.0007623533951110761		Orpha_layer	HP:0000252	3.468134389358245e-08	Microcephaly
