multiplex	node	score
Orphanet_layer	ORPHA:319182	4.1451346811702005e-06
Orphanet_layer	ORPHA:544254	2.4556498444601183e-06
Orphanet_layer	ORPHA:391372	2.340168787307953e-06
Orphanet_layer	ORPHA:420179	2.087708356239993e-06
Orphanet_layer	ORPHA:261494	1.914520359690251e-06
Orphanet_layer	ORPHA:2131	1.5121564069452739e-06
Orphanet_layer	ORPHA:464306	9.998666447150018e-07
Orphanet_layer	ORPHA:96092	8.558418796139454e-07
Orphanet_layer	ORPHA:276432	8.158687355146386e-07
Orphanet_layer	ORPHA:85279	6.554566622775489e-07
Orphanet_layer	ORPHA:96169	5.976478716204969e-07
Orphanet_layer	ORPHA:289494	4.732038176701119e-07
Orphanet_layer	ORPHA:884	4.5367128815304554e-07
Orphanet_layer	ORPHA:394	2.262389178521239e-07
Orphanet_layer	ORPHA:444077	1.8160319334502992e-07
Orphanet_layer	HP:0000750	5.908513379126852e-08
Orphanet_layer	HP:0010864	4.250308527214776e-08
Orphanet_layer	HP:0000708	4.126972643570231e-08
Orphanet_layer	HP:0001250	3.9660661512413185e-08
Orphanet_layer	HP:0001252	3.898253268678976e-08
Orphanet_layer	HP:0001249	3.690271228442834e-08
Orphanet_layer	HP:0001263	3.498930461853104e-08
Orphanet_layer	HP:0000729	2.8760128571523625e-08
Orphanet_layer	HP:0000252	2.858061441193523e-08
Orphanet_layer	HP:0000316	2.8555326759694078e-08
Orphanet_layer	HP:0000739	2.6247801273414212e-08
Orphanet_layer	HP:0002342	2.4987418341701837e-08
Orphanet_layer	HP:0004322	2.4895052436386926e-08
Orphanet_layer	HP:0000486	2.4684048872427038e-08
Orphanet_layer	HP:0000218	2.402957199728711e-08
Orphanet_layer	HP:0005616	2.307299239867531e-08
Orphanet_layer	HP:0011220	2.2945584209964772e-08
Orphanet_layer	ORPHA:589595	2.285102206890198e-08
Orphanet_layer	ORPHA:589534	2.285102206890198e-08
Orphanet_layer	HP:0000718	2.2778268394639502e-08
Orphanet_layer	ORPHA:442835	2.277228386976372e-08
Orphanet_layer	HP:0003196	2.272436407578213e-08
Orphanet_layer	HP:0000767	2.2662452333599416e-08
Orphanet_layer	ORPHA:402017	2.2140623375050577e-08
Orphanet_layer	ORPHA:98831	2.2140623375050577e-08
Orphanet_layer	ORPHA:98835	2.2140623375050577e-08
Orphanet_layer	ORPHA:585918	2.2140623375050577e-08
Orphanet_layer	HP:0011968	2.1588672317145643e-08
Orphanet_layer	HP:0000348	2.0979154820426648e-08
Orphanet_layer	HP:0001508	2.07928273541317e-08
Orphanet_layer	HP:0000324	2.0223265239981236e-08
Orphanet_layer	HP:0002119	2.0041211587444654e-08
Orphanet_layer	HP:0000494	1.8994908602912433e-08
Orphanet_layer	HP:0000508	1.898979223941027e-08
Orphanet_layer	HP:0002650	1.896113985635655e-08
Orphanet_layer	HP:0000028	1.8020190777098737e-08
Orphanet_layer	HP:0001999	1.7735998084553883e-08
Orphanet_layer	HP:0000490	1.765027803673363e-08
Orphanet_layer	HP:0001251	1.7420000048964245e-08
Orphanet_layer	HP:0002015	1.725075430176353e-08
Orphanet_layer	HP:0000733	1.7212063272578563e-08
Orphanet_layer	HP:0008872	1.7126975688634332e-08
Orphanet_layer	HP:0000736	1.6920611166098196e-08
Orphanet_layer	HP:0000256	1.6895706233305157e-08
Orphanet_layer	HP:0000343	1.6799331186743637e-08
Orphanet_layer	ORPHA:1942	1.616869261822725e-08
Orphanet_layer	ORPHA:447980	1.60605386839749e-08
Orphanet_layer	ORPHA:561	1.5978245020174152e-08
Orphanet_layer	HP:0000431	1.595306505448083e-08
Orphanet_layer	ORPHA:178469	1.57963262589075e-08
Orphanet_layer	HP:0002019	1.5392892309635216e-08
Orphanet_layer	HP:0002714	1.492500418724168e-08
Orphanet_layer	HP:0008897	1.478524066254086e-08
Orphanet_layer	HP:0000639	1.4687288461243887e-08
Orphanet_layer	HP:0000232	1.4565233621580618e-08
Orphanet_layer	HP:0002360	1.4481710659381275e-08
Orphanet_layer	HP:0030084	1.4437544907981066e-08
Orphanet_layer	HP:0000664	1.4428143594953106e-08
Orphanet_layer	HP:0000400	1.4226025633869436e-08
Orphanet_layer	HP:0000219	1.4089272385316378e-08
Orphanet_layer	HP:0001182	1.3997572618372494e-08
Orphanet_layer	HP:0001256	1.3968436034069796e-08
Orphanet_layer	HP:0002465	1.3948605717717246e-08
Orphanet_layer	HP:0002750	1.3896042765278329e-08
Orphanet_layer	HP:0000311	1.36798571356297e-08
Orphanet_layer	HP:0001288	1.36551974063615e-08
Orphanet_layer	HP:0002194	1.339696476700335e-08
Orphanet_layer	HP:0000280	1.3375457220349842e-08
Orphanet_layer	HP:0002020	1.3360554088027576e-08
Orphanet_layer	HP:0002079	1.3213919584385485e-08
Orphanet_layer	HP:0000752	1.3193914811999825e-08
Orphanet_layer	HP:0000463	1.3126004704409997e-08
Orphanet_layer	HP:0002376	1.2806030867602488e-08
Orphanet_layer	HP:0000824	1.2734752820116594e-08
Orphanet_layer	HP:0000160	1.2694670395262573e-08
Orphanet_layer	HP:0000047	1.2566894754723431e-08
Orphanet_layer	HP:0002197	1.2335138412745974e-08
Orphanet_layer	HP:0010832	1.2226029050273489e-08
Orphanet_layer	HP:0004209	1.2225254948463239e-08
Orphanet_layer	HP:0000527	1.1414642218243396e-08
Orphanet_layer	HP:0001257	1.1403055899670904e-08
Orphanet_layer	HP:0000303	1.134147584254655e-08
Orphanet_layer	HP:0000574	1.1287481104186019e-08
Orphanet_layer	HP:0002007	1.1286459707704619e-08
Orphanet_layer	HP:0001337	1.1275722143888364e-08
Orphanet_layer	HP:0001511	1.1136728811368231e-08
Orphanet_layer	HP:0012745	1.0847800810687994e-08
Orphanet_layer	HP:0009811	1.0809590059564676e-08
Orphanet_layer	ORPHA:52417	1.0746596693778527e-08
Orphanet_layer	HP:0000744	1.0721324989869894e-08
Orphanet_layer	HP:0004540	1.0676856923012912e-08
Orphanet_layer	HP:0000369	1.0654386466541283e-08
Orphanet_layer	ORPHA:585877	1.0416582580380248e-08
Orphanet_layer	HP:0000154	9.691285969527947e-09
Orphanet_layer	HP:0000506	9.631105447419645e-09
Orphanet_layer	HP:0000582	9.368991533021123e-09
Orphanet_layer	HP:0001319	9.337275480804893e-09
Orphanet_layer	HP:0003100	9.32541507541571e-09
Orphanet_layer	HP:0001629	9.299206573580247e-09
Orphanet_layer	HP:0002162	9.271826542259441e-09
Orphanet_layer	HP:0001627	9.255450003575292e-09
Orphanet_layer	HP:0100738	9.226590589478364e-09
Orphanet_layer	HP:0000098	9.215332966720567e-09
Orphanet_layer	HP:0000275	9.211843274935775e-09
Orphanet_layer	HP:0002370	9.192179835551075e-09
Orphanet_layer	HP:0020208	9.152668930959461e-09
Orphanet_layer	HP:0000300	9.065859788752094e-09
Orphanet_layer	HP:0002263	8.747869095238184e-09
Orphanet_layer	HP:0000478	8.70482517849853e-09
Orphanet_layer	HP:0011675	8.610094038926758e-09
Orphanet_layer	HP:0000276	8.56503157827194e-09
Orphanet_layer	HP:0002474	8.24471552519965e-09
Orphanet_layer	HP:0009088	8.201369157476768e-09
Orphanet_layer	HP:0000543	8.066245109610348e-09
Orphanet_layer	HP:0002365	8.051416150663007e-09
Orphanet_layer	HP:0000684	7.80415485679076e-09
Orphanet_layer	HP:0000268	7.53978273601669e-09
Orphanet_layer	HP:0001347	7.458486731855974e-09
Orphanet_layer	HP:0002230	7.446718794934201e-09
Orphanet_layer	HP:0000426	7.403909532663821e-09
Orphanet_layer	HP:0000411	7.384800840729406e-09
Orphanet_layer	HP:0012368	7.351162925094482e-09
Orphanet_layer	HP:0000465	7.314579145950486e-09
Orphanet_layer	HP:0001332	7.2963987157471905e-09
Orphanet_layer	HP:0001273	7.281584416637033e-09
Orphanet_layer	HP:0000960	7.2534205968243905e-09
Orphanet_layer	HP:0001155	7.219738479131975e-09
Orphanet_layer	HP:0008905	7.214592816142731e-09
Orphanet_layer	HP:0000337	7.204889108006598e-09
Orphanet_layer	HP:0100581	7.171916968581414e-09
Orphanet_layer	HP:0000126	7.159336811753925e-09
Orphanet_layer	HP:0002361	7.1553813251020945e-09
Orphanet_layer	HP:0007930	7.145072499848881e-09
Orphanet_layer	HP:0007018	7.14214482944638e-09
Orphanet_layer	HP:0006712	7.12695849838516e-09
Orphanet_layer	HP:0010485	7.1188187197657025e-09
Orphanet_layer	HP:0000545	7.0516884875909136e-09
Orphanet_layer	HP:0001270	6.909317162283409e-09
Orphanet_layer	HP:0005280	6.870149602911898e-09
Orphanet_layer	HP:0000272	6.795999906987191e-09
Orphanet_layer	ORPHA:2382	6.756097337593127e-09
Orphanet_layer	ORPHA:569	6.706135076620472e-09
Orphanet_layer	HP:0001344	6.704641606875469e-09
Orphanet_layer	HP:0010804	6.55577480499735e-09
Orphanet_layer	HP:0001357	6.517426054637572e-09
Orphanet_layer	HP:0001762	6.51616714457654e-09
Orphanet_layer	ORPHA:568	6.509257348073058e-09
Orphanet_layer	HP:0012471	6.48167798998309e-09
Orphanet_layer	HP:0000194	6.4550353547928775e-09
Orphanet_layer	HP:0000233	6.447323768983404e-09
Orphanet_layer	HP:0002076	6.412226069047411e-09
Orphanet_layer	HP:0001260	6.400610594339333e-09
Orphanet_layer	ORPHA:71518	6.3933339156370515e-09
Orphanet_layer	HP:0000455	6.386490909854934e-09
Orphanet_layer	HP:0000581	6.384928627821571e-09
Orphanet_layer	ORPHA:97	6.377907134542314e-09
Orphanet_layer	ORPHA:98758	6.364452406673649e-09
Orphanet_layer	HP:0000325	6.361723357058393e-09
Orphanet_layer	HP:0001371	6.355682742604627e-09
Orphanet_layer	HP:0410263	6.350092102479219e-09
Orphanet_layer	HP:0000735	6.292420199305929e-09
Orphanet_layer	HP:0000327	6.251898275654601e-09
Orphanet_layer	HP:0000954	6.250125718473764e-09
Orphanet_layer	HP:0000119	6.239708202161604e-09
Orphanet_layer	HP:0002788	6.215717783471675e-09
Orphanet_layer	HP:0000403	6.206459323796209e-09
Orphanet_layer	HP:0000307	6.195560863402904e-09
Orphanet_layer	HP:0000992	6.187939318673122e-09
Orphanet_layer	ORPHA:71517	6.165060168218384e-09
Orphanet_layer	HP:0008762	6.147742238096274e-09
Orphanet_layer	HP:0000539	6.146346637970818e-09
Orphanet_layer	HP:0008770	6.139077083710754e-09
