multiplex	node	score
Orpha_layer	ORPHA:319182	3.854948516593593e-06
Orpha_layer	ORPHA:544254	2.064003354662296e-06
Orpha_layer	ORPHA:261494	1.9688748488349497e-06
Orpha_layer	ORPHA:391372	1.8690082093501527e-06
Orpha_layer	ORPHA:420179	1.620962947157562e-06
Orpha_layer	ORPHA:2131	1.4783756578744512e-06
Orpha_layer	ORPHA:464306	1.3893133440217947e-06
Orpha_layer	ORPHA:96092	8.83827557742623e-07
Orpha_layer	ORPHA:276432	7.135732369592948e-07
Orpha_layer	ORPHA:96169	5.372644973108308e-07
Orpha_layer	ORPHA:884	4.8123261510011e-07
Orpha_layer	ORPHA:85279	4.7161683841992744e-07
Orpha_layer	ORPHA:289494	3.9360818781276356e-07
Orpha_layer	ORPHA:394	3.728845109886311e-07
Orpha_layer	ORPHA:444077	1.3383875636541417e-07
Orpha_layer	HP:0000750	5.438853702771894e-08
Orpha_layer	HP:0000708	3.903528976780981e-08
Orpha_layer	HP:0010864	3.789467334481847e-08
Orpha_layer	HP:0001250	3.666223191952379e-08
Orpha_layer	HP:0001249	3.615524365889303e-08
Orpha_layer	HP:0001252	3.592148525064674e-08
Orpha_layer	HP:0001263	3.3782699938065125e-08
Orpha_layer	HP:0000252	2.7534286869300843e-08
Orpha_layer	HP:0000729	2.704384289075767e-08
Orpha_layer	HP:0000316	2.6777824435789882e-08
Orpha_layer	HP:0000739	2.4033816405030863e-08
Orpha_layer	HP:0004322	2.2923130503531078e-08
Orpha_layer	ORPHA:589595	2.125118942350349e-08
Orpha_layer	ORPHA:589534	2.125118942350349e-08
Orpha_layer	HP:0003196	2.114676304797456e-08
Orpha_layer	HP:0000486	2.109623188391002e-08
Orpha_layer	HP:0011968	2.1075593607818265e-08
Orpha_layer	HP:0000767	2.1064431030250466e-08
Orpha_layer	HP:0000718	2.0804633871636368e-08
Orpha_layer	HP:0000218	2.0602164960985094e-08
Orpha_layer	ORPHA:585918	2.059063168136673e-08
