multiplex	node	score
Orpha_layer	ORPHA:319182	2.86185537946345e-06
Orpha_layer	ORPHA:420179	1.990652475747336e-06
Orpha_layer	ORPHA:544254	1.9018355251152276e-06
Orpha_layer	ORPHA:391372	1.8136655698243304e-06
Orpha_layer	ORPHA:261494	1.4740531167178864e-06
Orpha_layer	ORPHA:2131	1.1460798644888114e-06
Orpha_layer	ORPHA:464306	1.0695525272496936e-06
Orpha_layer	ORPHA:85279	9.48704572935679e-07
Orpha_layer	ORPHA:96092	8.658261460255786e-07
Orpha_layer	ORPHA:276432	5.799921670276848e-07
Orpha_layer	ORPHA:394	5.492633061810852e-07
Orpha_layer	ORPHA:289494	4.459316424900601e-07
Orpha_layer	ORPHA:96169	4.310575070392975e-07
Orpha_layer	ORPHA:884	3.8088566998921704e-07
Orpha_layer	ORPHA:444077	8.101236191003316e-08
Orpha_layer	HP:0000750	5.057334586657984e-08
Orpha_layer	HP:0010864	3.9634384637424784e-08
Orpha_layer	HP:0001250	3.679527578259322e-08
Orpha_layer	HP:0000708	3.273620682767664e-08
Orpha_layer	HP:0001249	3.1731926511237123e-08
Orpha_layer	HP:0001252	2.941667310496221e-08
Orpha_layer	HP:0001263	2.866506280564908e-08
Orpha_layer	HP:0000252	2.4690333204591986e-08
Orpha_layer	HP:0000729	2.3568925523840853e-08
Orpha_layer	HP:0000486	2.3382601125910508e-08
Orpha_layer	HP:0004322	2.253083276420175e-08
Orpha_layer	HP:0000218	2.2078707186732352e-08
Orpha_layer	HP:0000316	2.1830601483405032e-08
Orpha_layer	HP:0000739	2.1408573493854427e-08
Orpha_layer	HP:0000767	2.1064215308446156e-08
Orpha_layer	HP:0002342	2.1038547030117218e-08
Orpha_layer	HP:0011220	2.0328612552752633e-08
Orpha_layer	HP:0000718	1.9767936224993118e-08
Orpha_layer	HP:0005616	1.917389352341293e-08
Orpha_layer	HP:0000028	1.881658375716542e-08
Orpha_layer	HP:0002119	1.7832678667526987e-08
Orpha_layer	HP:0002650	1.7720807037280522e-08
Orpha_layer	ORPHA:442835	1.756108822687169e-08
Orpha_layer	HP:0000490	1.740848917553679e-08
Orpha_layer	HP:0000348	1.715834701528394e-08
Orpha_layer	HP:0003196	1.708058959070247e-08
Orpha_layer	HP:0011968	1.703633542361194e-08
Orpha_layer	HP:0000256	1.680471499868708e-08
Orpha_layer	HP:0001508	1.6416607486118738e-08
Orpha_layer	HP:0000494	1.6159678944978693e-08
Orpha_layer	HP:0000324	1.585349824643303e-08
Orpha_layer	HP:0001999	1.5778500634603326e-08
Orpha_layer	ORPHA:589595	1.57769039028979e-08
Orpha_layer	ORPHA:589534	1.57769039028979e-08
Orpha_layer	ORPHA:98835	1.5286192437331568e-08
Orpha_layer	ORPHA:585918	1.5286192437331568e-08
Orpha_layer	ORPHA:98831	1.5286192437331568e-08
Orpha_layer	ORPHA:402017	1.5286192437331568e-08
Orpha_layer	ORPHA:447980	1.523997835844969e-08
Orpha_layer	ORPHA:561	1.516299032970768e-08
Orpha_layer	HP:0008872	1.4836857822911245e-08
Orpha_layer	HP:0000508	1.4137562651419473e-08
Orpha_layer	HP:0001251	1.4054411299318941e-08
Orpha_layer	HP:0000733	1.3304972283670237e-08
Orpha_layer	HP:0002015	1.2840422896167606e-08
Orpha_layer	HP:0000343	1.2801204537294127e-08
Orpha_layer	HP:0002079	1.2747698408893576e-08
Orpha_layer	HP:0001256	1.2702474471602847e-08
Orpha_layer	HP:0030084	1.264685964063979e-08
Orpha_layer	ORPHA:1942	1.2541283601871639e-08
Orpha_layer	HP:0000639	1.2476998375180706e-08
Orpha_layer	ORPHA:178469	1.223789930874047e-08
Orpha_layer	HP:0000400	1.2222716728727384e-08
Orpha_layer	HP:0000736	1.2217937773650766e-08
Orpha_layer	HP:0000232	1.2089854382328541e-08
Orpha_layer	HP:0001182	1.2005322362659316e-08
Orpha_layer	HP:0000431	1.1967655650357531e-08
Orpha_layer	HP:0001257	1.1956054963814763e-08
Orpha_layer	HP:0001288	1.1783278554904037e-08
Orpha_layer	HP:0002019	1.1742263600676569e-08
Orpha_layer	HP:0002465	1.1614533935424172e-08
Orpha_layer	HP:0002714	1.1613820703124473e-08
Orpha_layer	HP:0002360	1.122119829489693e-08
Orpha_layer	HP:0000160	1.0964652740340668e-08
Orpha_layer	HP:0000463	1.0909937693693676e-08
Orpha_layer	HP:0000664	1.0762372173424831e-08
Orpha_layer	HP:0008897	1.0334567028521335e-08
Orpha_layer	HP:0000280	1.0225720443057079e-08
Orpha_layer	HP:0002020	1.021859565539142e-08
Orpha_layer	HP:0000311	1.0131140047416686e-08
Orpha_layer	HP:0000219	1.0120286293091461e-08
Orpha_layer	HP:0002750	1.007690819320331e-08
Orpha_layer	HP:0004209	1.0055759112224414e-08
Orpha_layer	HP:0000752	9.931184282724195e-09
Orpha_layer	HP:0002376	9.928681646844788e-09
Orpha_layer	HP:0000047	9.862825674425158e-09
Orpha_layer	HP:0002007	9.843232522679844e-09
Orpha_layer	HP:0002197	9.559818505390376e-09
Orpha_layer	HP:0010832	9.469305739139163e-09
Orpha_layer	HP:0002194	9.329298903606075e-09
Orpha_layer	HP:0000824	9.154465737667415e-09
Orpha_layer	HP:0001337	9.12873135672217e-09
Orpha_layer	HP:0001511	8.986671754332959e-09
Orpha_layer	HP:0000327	8.939306276302895e-09
Orpha_layer	HP:0003100	8.884407392020792e-09
Orpha_layer	HP:0001319	8.871970780930505e-09
Orpha_layer	HP:0001347	8.849366077295286e-09
Orpha_layer	HP:0002232	8.82318979713045e-09
Orpha_layer	HP:0002162	8.816112654959981e-09
Orpha_layer	HP:0000303	8.79944003453621e-09
Orpha_layer	HP:0000098	8.77949076344126e-09
Orpha_layer	HP:0000275	8.77145273727135e-09
Orpha_layer	HP:0000300	8.64310368004228e-09
Orpha_layer	ORPHA:52417	8.329650460802053e-09
Orpha_layer	HP:0000426	8.27962164943083e-09
Orpha_layer	HP:0000154	8.278261893370563e-09
Orpha_layer	HP:0000411	8.264820677064628e-09
Orpha_layer	ORPHA:585877	8.07345031934095e-09
Orpha_layer	HP:0000545	8.029040459777479e-09
Orpha_layer	HP:0000543	7.913701547913447e-09
Orpha_layer	HP:0002365	7.901306797441194e-09
Orpha_layer	HP:0000574	7.765449507504463e-09
Orpha_layer	HP:0000527	7.764324047865448e-09
Orpha_layer	HP:0001627	7.61360257399015e-09
Orpha_layer	HP:0000369	7.572872500154675e-09
Orpha_layer	HP:0012745	7.512729882425405e-09
Orpha_layer	HP:0009811	7.472873277147087e-09
Orpha_layer	HP:0000744	7.408679152810149e-09
Orpha_layer	HP:0004540	7.372049297512857e-09
Orpha_layer	HP:0000478	7.323827651922143e-09
Orpha_layer	HP:0000582	7.305274173498843e-09
Orpha_layer	HP:0001629	7.214509752083324e-09
Orpha_layer	HP:0100738	7.147475685327676e-09
Orpha_layer	HP:0002370	7.121340524626193e-09
Orpha_layer	HP:0001762	7.093506874062383e-09
Orpha_layer	HP:0020208	7.088520165429714e-09
Orpha_layer	HP:0000717	7.03673501284565e-09
Orpha_layer	HP:0000506	7.031831134172242e-09
Orpha_layer	HP:0002263	6.711858702528655e-09
Orpha_layer	HP:0000276	6.573926948339333e-09
Orpha_layer	HP:0000684	6.4983806338573125e-09
Orpha_layer	HP:0011675	6.479642942848259e-09
Orpha_layer	HP:0005280	6.454260688402863e-09
Orpha_layer	HP:0002474	6.3944683815867665e-09
Orpha_layer	HP:0009088	6.3601650486863214e-09
Orpha_layer	HP:0001166	6.303229104502129e-09
Orpha_layer	HP:0001332	6.163899400384271e-09
Orpha_layer	HP:0000126	6.1569093686993775e-09
