multiplex	node	score
Orpha_layer	ORPHA:319182	1.9049987783323982e-06
Orpha_layer	ORPHA:544254	1.630572272286012e-06
Orpha_layer	ORPHA:391372	1.225173933908689e-06
Orpha_layer	ORPHA:420179	1.082726778696815e-06
Orpha_layer	ORPHA:261494	9.214173697287315e-07
Orpha_layer	ORPHA:2131	6.874966177266418e-07
Orpha_layer	ORPHA:464306	5.13254062790477e-07
Orpha_layer	ORPHA:289494	3.358007192274608e-07
Orpha_layer	ORPHA:276432	3.237979608970929e-07
Orpha_layer	ORPHA:85279	3.194597212240898e-07
Orpha_layer	ORPHA:96092	1.959319089945882e-07
Orpha_layer	ORPHA:884	1.904013901634305e-07
Orpha_layer	ORPHA:96169	1.8034376495358194e-07
Orpha_layer	ORPHA:394	4.282552136650832e-08
Orpha_layer	ORPHA:444077	3.5616291910147393e-08
Orpha_layer	HP:0000750	3.00138228227261e-08
Orpha_layer	HP:0010864	2.176289358259111e-08
Orpha_layer	HP:0000708	2.1202121305709036e-08
Orpha_layer	HP:0001252	1.9797944441497926e-08
Orpha_layer	HP:0001250	1.8935541199636392e-08
Orpha_layer	HP:0001249	1.824556348125788e-08
Orpha_layer	HP:0001263	1.759813583671106e-08
Orpha_layer	HP:0000729	1.5086208866278923e-08
Orpha_layer	HP:0000252	1.4573964628743506e-08
Orpha_layer	HP:0002342	1.4307231826501091e-08
Orpha_layer	ORPHA:442835	1.3645775451443375e-08
Orpha_layer	HP:0000316	1.3238482405187133e-08
Orpha_layer	HP:0000739	1.2986854188909545e-08
Orpha_layer	HP:0000218	1.250868174418118e-08
Orpha_layer	HP:0000486	1.2129116279040356e-08
Orpha_layer	HP:0004322	1.1930875845222142e-08
Orpha_layer	HP:0005616	1.132996456571628e-08
Orpha_layer	HP:0003196	1.0833988133966823e-08
Orpha_layer	HP:0011220	1.0815591888021132e-08
Orpha_layer	HP:0001251	1.0746029687816614e-08
Orpha_layer	HP:0000718	1.0708100811413471e-08
Orpha_layer	ORPHA:1942	1.0621940248748814e-08
Orpha_layer	HP:0011968	1.0556330011053665e-08
Orpha_layer	ORPHA:589595	1.0502003342936672e-08
Orpha_layer	ORPHA:589534	1.0502003342936672e-08
Orpha_layer	ORPHA:178469	1.0457993046012963e-08
Orpha_layer	ORPHA:585918	1.0175285468201743e-08
Orpha_layer	ORPHA:98831	1.0175285468201743e-08
Orpha_layer	ORPHA:402017	1.0175285468201743e-08
Orpha_layer	ORPHA:98835	1.0175285468201743e-08
Orpha_layer	HP:0001508	1.0131774478305146e-08
Orpha_layer	HP:0000490	9.920297966607039e-09
Orpha_layer	HP:0000767	9.883748103998747e-09
Orpha_layer	HP:0000348	9.862719418682212e-09
Orpha_layer	HP:0000324	9.72550847948525e-09
Orpha_layer	HP:0002119	9.606441706739107e-09
Orpha_layer	HP:0001999	9.56292725852424e-09
Orpha_layer	HP:0000494	9.447170643531538e-09
Orpha_layer	HP:0008872	9.429482844183796e-09
Orpha_layer	HP:0000256	8.661492505482352e-09
Orpha_layer	HP:0002360	8.654548623700982e-09
Orpha_layer	HP:0000508	8.638683346027284e-09
Orpha_layer	HP:0002015	8.543389975862331e-09
Orpha_layer	HP:0001288	8.381948545584706e-09
Orpha_layer	ORPHA:447980	8.301869568655257e-09
Orpha_layer	ORPHA:561	8.257606120745933e-09
Orpha_layer	HP:0002650	8.230972203828573e-09
Orpha_layer	HP:0002465	8.216834333486923e-09
Orpha_layer	HP:0000736	8.172756815430404e-09
Orpha_layer	HP:0002197	8.172396910337932e-09
Orpha_layer	HP:0000733	8.157872693087187e-09
Orpha_layer	HP:0010832	8.116992411750274e-09
Orpha_layer	HP:0000028	7.884313605864974e-09
Orpha_layer	HP:0002376	7.85584863874587e-09
Orpha_layer	HP:0002019	7.465338600394509e-09
Orpha_layer	HP:0000160	7.451144753819193e-09
Orpha_layer	HP:0000639	7.386447169513134e-09
Orpha_layer	HP:0002079	7.139799678791812e-09
Orpha_layer	HP:0002714	7.132700634434239e-09
Orpha_layer	HP:0001337	7.0675936908385904e-09
Orpha_layer	HP:0000400	7.0152582819970764e-09
Orpha_layer	HP:0000343	7.010460653723868e-09
Orpha_layer	HP:0030084	6.986363920142066e-09
Orpha_layer	HP:0000047	6.8377637509208494e-09
Orpha_layer	HP:0008897	6.567937495107871e-09
Orpha_layer	HP:0001182	6.522255740232405e-09
Orpha_layer	HP:0000431	6.488013991458349e-09
Orpha_layer	HP:0001256	6.330767380394642e-09
Orpha_layer	HP:0000219	6.311366479623735e-09
Orpha_layer	HP:0002750	6.2877570032623665e-09
Orpha_layer	HP:0002020	6.2295825757396044e-09
