multiplex	node	score	empty	multiplex	node	score	description
Rare_X_layer	MSL3 -related disorders	0.7197247887519184		Orpha_layer	ORPHA:319182	3.852487897195688e-06	Wiedemann-Steiner syndrome
Rare_X_layer	Recurrent_Infections_Symptom_Present	0.0026527631818418		Orpha_layer	ORPHA:420179	2.278415590387699e-06	Malan overgrowth syndrome
Rare_X_layer	Immunodeficiency_Symptom_Present	0.0024240088038184		Orpha_layer	ORPHA:391372	1.9623983823814023e-06	Intellectual disability-severe speech delay-mild dysmorphism syndrome
Rare_X_layer	CSHQ Subscale 2: Sleep onset Delay	0.0018047195929955		Orpha_layer	ORPHA:544254	1.821003195134321e-06	SYNGAP1-related developmental and epileptic encephalopathy
Rare_X_layer	CSHQ Subscale 3: Sleep Duration	0.0016945139715351		Orpha_layer	ORPHA:261494	1.5750139803080255e-06	Kleefstra syndrome
Rare_X_layer	Hypotonia_Symptom_Present	0.0016779777318845		Orpha_layer	ORPHA:464306	1.1539150682161712e-06	DYRK1A-related intellectual disability syndrome
Rare_X_layer	CSHQ Subscale 4: Sleep Anxiety	0.0015319090899185		Orpha_layer	ORPHA:2131	1.1165401984023173e-06	Alternating hemiplegia of childhood
Rare_X_layer	CSHQ Subscale 7: Sleep Disordered Breathing	0.0014978613578333		Orpha_layer	ORPHA:96092	9.175646553974136e-07	8p inverted duplication/deletion syndrome
Rare_X_layer	CSHQ Subscale 5: Night Wakings	0.0014319752999037		Orpha_layer	ORPHA:85279	9.133109450087522e-07	KDM5C-related syndromic X-linked intellectual disability
Rare_X_layer	Abnormal_Muscle_Function_Symptom_Present	0.0014053493295283		Orpha_layer	ORPHA:96169	7.717191066499267e-07	Koolen-De Vries syndrome
Rare_X_layer	CSHQ Subscale 1: Bedtime Resistance	0.0013420121507609		Orpha_layer	ORPHA:276432	6.482639171631986e-07	Ogden syndrome
Rare_X_layer	Cognitive_Impairment_Symptom_Present	0.0013096502876066		Orpha_layer	ORPHA:394	4.575291981000305e-07	Classic homocystinuria
Rare_X_layer	CSHQ Subscale 6: Parasomnias	0.0012901178655225		Orpha_layer	ORPHA:884	4.2002103647426097e-07	Tetrasomy 12p
Rare_X_layer	CSHQ Subscale 8: Daytime Sleepiness	0.0011758114973334		Orpha_layer	ORPHA:289494	3.9826973613190476e-07	4H leukodystrophy
Rare_X_layer	Constipation_Symptom_Present	0.0011543670873015		Orpha_layer	ORPHA:444077	1.154040707811075e-07	Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome
Rare_X_layer	Issue_Muscle_Arms_Legs_Symptom_Present	0.0011481652951415		Orpha_layer	HP:0000750	5.468966225426911e-08	Delayed speech and language development
Rare_X_layer	Amniotic_Fluid_Issue_Symptom_Present	0.0010845064808639		Orpha_layer	HP:0010864	4.1238800705920625e-08	Intellectual disability, severe
Rare_X_layer	Coordination_Issues_Symptom_Present	0.0010419897368697		Orpha_layer	HP:0001250	4.04591465862733e-08	Seizure
Rare_X_layer	Repetitive_Stereotypic_Behavior_Symptom_Present	0.001018978259666		Orpha_layer	HP:0000708	3.5849378364294524e-08	Atypical behavior
Rare_X_layer	Delivery_Complication_Symptom_Present	0.0010040481082962		Orpha_layer	HP:0001249	3.4545371299278444e-08	Intellectual disability
Rare_X_layer	Feeding_Difficulties_Symptom_Present	0.0009117030762		Orpha_layer	HP:0001252	3.37513075222921e-08	Hypotonia
